label,timestamp,duration,pkg,dram,socket
orig_1_KNN_10000r_20f_2_,1697715644.8287976,21517.72,842955.0,99792.0,0
orig_1_KNN_10000r_20f_2_,1697715966.5430589,13402.989,432494.0,49683.0,0
orig_1_KNN_10000r_20f_2_,1697716374.8548954,21700.666,812193.0,103882.0,0
orig_1_KNN_10000r_20f_2_,1697716763.6166983,13185.075,296631.0,46508.0,0
orig_1_KNN_10000r_20f_2_,1697716796.0718536,12609.948,306945.0,46874.0,0
orig_1_KNN_10000r_20f_2_,1697716829.3272421,12799.362,301696.0,46570.0,0
orig_1_KNN_10000r_20f_2_,1697716908.371818,12970.702,305724.0,47730.0,0
orig_1_KNN_10000r_20f_2_,1697721458.162717,13796.114,469786.0,67078.0,0
