label,timestamp,duration,pkg,dram,socket
orig_1_KNN_5000r_15f_1_,1697715601.8437388,9123.401,439879.0,72143.0,0
orig_1_KNN_5000r_15f_1_,1697715925.7280998,8657.871,315734.0,45227.0,0
orig_1_KNN_5000r_15f_1_,1697716226.4106271,5435.065,127991.0,21911.0,0
orig_1_KNN_5000r_15f_1_,1697716762.2618542,4948.788,109619.0,16479.0,0
orig_1_KNN_5000r_15f_1_,1697716794.7140083,5074.881,108764.0,16601.0,0
orig_1_KNN_5000r_15f_1_,1697716827.9793303,5065.656,129578.0,19775.0,0
orig_1_KNN_5000r_15f_1_,1697716907.0286663,5005.591,107482.0,16418.0,0
orig_1_KNN_5000r_15f_1_,1697717976.8408897,5456.252,107360.0,17701.0,0
orig_1_KNN_5000r_15f_1_,1697719894.313866,5231.753,107971.0,17822.0,0
