label,timestamp,duration,pkg,dram,socket
anon_2_KNN_10000r_10f_1_,1697715597.6913633,26630.649,1008664.0,175232.0,0
anon_2_KNN_10000r_10f_1_,1697715921.3569117,30690.195,1196042.0,198302.0,0
anon_2_KNN_10000r_10f_1_,1697716216.1482484,12610.864,294921.0,45898.0,0
anon_2_KNN_10000r_10f_1_,1697716762.146267,12843.459,310973.0,47668.0,0
anon_2_KNN_10000r_10f_1_,1697716794.597638,13516.095,284057.0,45105.0,0
anon_2_KNN_10000r_10f_1_,1697716827.8630974,12788.089,289855.0,45959.0,0
anon_2_KNN_10000r_10f_1_,1697716906.9138234,12888.482,291381.0,46936.0,0
anon_2_KNN_10000r_10f_1_,1697717873.7731385,13492.982,315002.0,47546.0,0
anon_2_KNN_10000r_10f_1_,1697719736.9639628,37131.907,1499386.0,379028.0,0
