label,timestamp,duration,pkg,dram,socket
anon_1_KNN_5000r_20f_0_,1697715583.637601,18701.704,923764.0,132446.0,0
anon_1_KNN_5000r_20f_0_,1697715907.8861773,18950.635,803404.0,133606.0,0
anon_1_KNN_5000r_20f_0_,1697716184.2449934,10715.266,223083.0,36316.0,0
anon_1_KNN_5000r_20f_0_,1697716761.704043,10682.267,243591.0,40466.0,0
anon_1_KNN_5000r_20f_0_,1697716794.1530633,10859.789,239624.0,38697.0,0
anon_1_KNN_5000r_20f_0_,1697716827.425823,10548.459,239623.0,39002.0,0
anon_1_KNN_5000r_20f_0_,1697716906.4749043,10704.86,242370.0,40039.0,0
anon_1_KNN_5000r_20f_0_,1697717551.612604,10727.825,223632.0,37049.0,0
anon_1_KNN_5000r_20f_0_,1697719324.1368964,10669.587,243468.0,38879.0,0
