label,timestamp,duration,pkg,dram,socket
anon_2_KNN_10000r_15f_1_,1697715607.305289,35633.421,1453610.0,238403.0,0
anon_2_KNN_10000r_15f_1_,1697715931.0478103,63854.372,2489313.0,494445.0,0
anon_2_KNN_10000r_15f_1_,1697716238.7453415,18788.074,427062.0,68481.0,0
anon_2_KNN_10000r_15f_1_,1697716762.449962,22038.932,418761.0,77209.0,0
anon_2_KNN_10000r_15f_1_,1697716794.8958101,19512.715,441954.0,70496.0,0
anon_2_KNN_10000r_15f_1_,1697716828.161104,18897.177,419189.0,68787.0,0
anon_2_KNN_10000r_15f_1_,1697716907.210645,18888.999,424743.0,69092.0,0
anon_2_KNN_10000r_15f_1_,1697718101.9811509,19163.357,428771.0,68665.0,0
anon_2_KNN_10000r_15f_1_,1697720034.4268296,33212.959,1337459.0,178100.0,0
