label,timestamp,duration,pkg,dram,socket
anon_2_KNN_10000r_10f_0_,1697715569.1023097,26005.451,1170041.0,236816.0,0
anon_2_KNN_10000r_10f_0_,1697715893.4339783,27990.225,1172727.0,291259.0,0
anon_2_KNN_10000r_10f_0_,1697716150.6787467,13752.727,309814.0,48034.0,0
anon_2_KNN_10000r_10f_0_,1697716761.2426445,13534.831,286315.0,44983.0,0
anon_2_KNN_10000r_10f_0_,1697716793.702952,13853.075,309081.0,47974.0,0
anon_2_KNN_10000r_10f_0_,1697716826.9720006,13966.636,324463.0,51086.0,0
anon_2_KNN_10000r_10f_0_,1697716906.0113816,13512.15,287230.0,47119.0,0
anon_2_KNN_10000r_10f_0_,1697717210.6637037,13803.438,311523.0,48096.0,0
anon_2_KNN_10000r_10f_0_,1697718912.8228946,13945.536,311462.0,49988.0,0
