label,timestamp,duration,pkg,dram,socket
orig_1_KNN_1000r_15f_0_,1697715570.4486365,3791.307,387206.0,74768.0,0
orig_1_KNN_1000r_15f_0_,1697715894.6582587,3153.47,267272.0,38147.0,0
orig_1_KNN_1000r_15f_0_,1697716153.7127156,1903.555,41932.0,7629.0,0
orig_1_KNN_1000r_15f_0_,1697716761.2878714,1625.931,42603.0,6591.0,0
orig_1_KNN_1000r_15f_0_,1697716793.74805,1647.965,39612.0,6470.0,0
orig_1_KNN_1000r_15f_0_,1697716827.0176435,1631.169,19776.0,3112.0,0
orig_1_KNN_1000r_15f_0_,1697716906.0566359,1661.563,41565.0,6531.0,0
orig_1_KNN_1000r_15f_0_,1697717241.1631465,2175.108,39123.0,7568.0,0
orig_1_KNN_1000r_15f_0_,1697718943.287322,2242.092,38025.0,7812.0,0
