label,timestamp,duration,pkg,dram,socket
anon_1_KNN_1000r_20f_1_,1697715608.6464262,5141.874,312683.0,67261.0,0
anon_1_KNN_1000r_20f_1_,1697715932.346688,4619.878,185974.0,21363.0,0
anon_1_KNN_1000r_20f_1_,1697716241.84321,2469.605,65002.0,10132.0,0
anon_1_KNN_1000r_20f_1_,1697716762.5099924,3177.242,62683.0,10864.0,0
anon_1_KNN_1000r_20f_1_,1697716794.9532568,2376.143,63049.0,9826.0,0
anon_1_KNN_1000r_20f_1_,1697716828.2181013,3065.962,61340.0,10681.0,0
anon_1_KNN_1000r_20f_1_,1697716907.2685676,2450.533,42724.0,6836.0,0
anon_1_KNN_1000r_20f_1_,1697718146.0041037,5102.445,193908.0,43396.0,0
anon_1_KNN_1000r_20f_1_,1697720088.9944818,6798.069,214050.0,65186.0,0
