label,timestamp,duration,pkg,dram,socket
orig_2_KNN_5000r_10f_0_,1697715564.807225,7950.942,349914.0,53832.0,0
orig_2_KNN_5000r_10f_0_,1697715889.4905462,7599.513,330200.0,50354.0,0
orig_2_KNN_5000r_10f_0_,1697716141.0232644,4062.452,85693.0,13245.0,0
orig_2_KNN_5000r_10f_0_,1697716761.1127532,4438.959,91979.0,14770.0,0
orig_2_KNN_5000r_10f_0_,1697716793.575563,4293.121,89843.0,14099.0,0
orig_2_KNN_5000r_10f_0_,1697716826.8371665,4540.699,138732.0,21118.0,0
orig_2_KNN_5000r_10f_0_,1697716905.8776078,4306.624,92469.0,14771.0,0
orig_2_KNN_5000r_10f_0_,1697717112.0856366,4305.143,106262.0,17395.0,0
orig_2_KNN_5000r_10f_0_,1697718743.5824661,6857.605,270691.0,40283.0,0
